Wavelength (nm),Amplitude (AU)
1510.2259999999947,727.3798689116729
1510.2269999999946,734.0180639719562
1510.2279999999946,740.6478906855089
1510.2289999999946,747.2688425015053
1510.2299999999946,753.8804128691204
1510.2309999999945,760.4820952375288
1510.2319999999945,767.0733830559054
1510.2329999999945,773.6537697734246
1510.2339999999945,780.2227488392614
1510.2349999999944,786.77981370259
1510.2359999999944,793.3244578125857
1510.2369999999944,799.856174618423
1510.2379999999944,806.3744575692765
1510.2389999999943,812.8788001143207
1510.2399999999943,819.3686957027309
1510.2409999999943,825.8436377836813
1510.2419999999943,832.3031198063466
1510.2429999999943,838.7466352199017
1510.2439999999942,845.1736774735214
1510.2449999999942,851.5837400163801
1510.2459999999942,857.9763162976527
1510.2469999999942,864.3508997665137
1510.2479999999941,870.7069838721382
1510.248999999994,877.0440620637005
1510.249999999994,883.3616277903752
1510.250999999994,889.6591745013375
1510.251999999994,895.9361956457618
1510.252999999994,902.192184672823
1510.253999999994,908.4266350316954
1510.254999999994,914.639040171554
1510.255999999994,920.8288935415735
1510.256999999994,926.9956885909285
1510.257999999994,933.1389187687935
1510.2589999999939,939.2580775243438
1510.2599999999939,945.3526583067536
1510.2609999999938,951.4221545651977
1510.2619999999938,957.4660597488507
1510.2629999999938,963.4838673068878
1510.2639999999938,969.4750706884831
1510.2649999999937,975.4391633428118
1510.2659999999937,981.3756387190476
1510.2669999999937,987.2839902663666
1510.2679999999937,993.1637114339428
1510.2689999999936,999.0142956709506
1510.2699999999936,1004.8352364265653
1510.2709999999936,1010.6260271499613
1510.2719999999936,1016.3861612903132
1510.2729999999935,1022.115132296796
1510.2739999999935,1027.812433618584
1510.2749999999935,1033.4775587048525
1510.2759999999935,1039.1100010047758
1510.2769999999934,1044.709253967528
1510.2779999999934,1050.274811042285
1510.2789999999934,1055.806165678221
1510.2799999999934,1061.3028113245107
1510.2809999999934,1066.7642414303282
1510.2819999999933,1072.189949444849
1510.2829999999933,1077.5794288172476
1510.2839999999933,1082.9321729966987
1510.2849999999933,1088.2476754323766
1510.2859999999932,1093.5254295734567
1510.2869999999932,1098.7649288691132
1510.2879999999932,1103.965666768521
1510.2889999999932,1109.1271367208544
1510.2899999999931,1114.2488321752887
1510.2909999999931,1119.3302465809982
1510.291999999993,1124.370873387158
1510.292999999993,1129.370206042942
1510.293999999993,1134.3277379975261
1510.294999999993,1139.2429627000838
1510.295999999993,1144.1153735997907
1510.296999999993,1148.9444641458208
1510.297999999993,1153.7297277873492
1510.298999999993,1158.470657973551
1510.299999999993,1163.1667481535997
1510.3009999999929,1167.817491776671
1510.3019999999929,1172.4223822919396
1510.3029999999928,1176.9809131485797
1510.3039999999928,1181.492577795766
1510.3049999999928,1185.9568696826739
1510.3059999999928,1190.3732822584773
1510.3069999999927,1194.7413089723514
1510.3079999999927,1199.0604432734706
1510.3089999999927,1203.3301786110096
1510.3099999999927,1207.5500084341434
1510.3109999999926,1211.7194261920467
1510.3119999999926,1215.8379253338935
1510.3129999999926,1219.9049993088595
1510.3139999999926,1223.920141566119
1510.3149999999926,1227.8828455548462
1510.3159999999925,1231.7926047242165
1510.3169999999925,1235.648912523404
1510.3179999999925,1239.4512624015842
1510.3189999999925,1243.1991478079312
1510.3199999999924,1246.8920621916195
1510.3209999999924,1250.5294990018244
1510.3219999999924,1254.1109516877204
1510.3229999999924,1257.635913698482
1510.3239999999923,1261.1038784832838
1510.3249999999923,1264.514339491301
1510.3259999999923,1267.866790171708
1510.3269999999923,1271.1607239736795
1510.3279999999922,1274.39563434639
1510.3289999999922,1277.5710147390146
1510.3299999999922,1280.686358600728
1510.3309999999922,1283.7411593807046
1510.3319999999921,1286.734910528119
1510.3329999999921,1289.667253282512
1510.333999999992,1292.5384781817647
1510.334999999992,1295.3490540240202
1510.335999999992,1298.0994496123828
1510.336999999992,1300.7901337499566
1510.337999999992,1303.4215752398454
1510.338999999992,1305.9942428851537
1510.339999999992,1308.5086054889853
1510.340999999992,1310.9651318544443
1510.341999999992,1313.364290784635
1510.342999999992,1315.7065510826612
1510.3439999999919,1317.9923815516272
1510.3449999999918,1320.2222509946369
1510.3459999999918,1322.3966282147946
1510.3469999999918,1324.5159820152044
1510.3479999999918,1326.58078119897
1510.3489999999917,1328.591494569196
1510.3499999999917,1330.5485909289862
1510.3509999999917,1332.4525390814445
1510.3519999999917,1334.3038078296754
1510.3529999999917,1336.1028659767828
1510.3539999999916,1337.8501823258707
1510.3549999999916,1339.5462256800433
1510.3559999999916,1341.1914648424047
1510.3569999999916,1342.7863686160588
